Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-09-14T18:21:51.092 ,5,-0.0022672050655155825,-2.7558264037852056,FoVP,0.6416160915844327,0.7146738878275523,2458011.268132139
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-09-14T20:08:25.304 ,4,0.0018662290830383122,-2.752491397899959,FoVF,0.640218154566125,0.7160617841546812,2458011.342137316
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-10-15T12:09:06.806 ,4,-0.001226171467561837,-0.744503606941361,FoVP,-0.6927385039032303,0.7193486721398746,2458042.0082718786
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-11-13T17:52:06.422 ,4,-0.0012914139501686156,-1.8341385049833843,FoVP,0.7119275847552696,0.7087620082473622,2458071.2452649614
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-11-13T19:38:40.627 ,2,0.0041305865671447655,-1.8332911579747904,FoVF,0.7121387278397553,0.7085001292729448,2458071.3192689065
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-12-19T17:01:46.901 ,6,-0.004924623572080834,0.2891043196360545,FoVP,-0.6485935665657971,0.7077400877074578,2458107.2089767586
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-01-08T04:59:57.577 ,1,0.003422776972908842,-0.8039044659820639,FoVP,0.59999640808171,0.7089986924109977,2458126.7072187895
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-02-16T09:45:31.039 ,6,-0.004503052755734677,1.343341707929532,FoVP,-0.5824724283193274,0.7036837691942178,2458165.9053026624
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-03-06T15:45:56.849 ,4,-0.0010769749262130998,0.2892333303738396,FoVP,0.6070242655501067,0.7117846560296671,2458184.155875507
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-03-06T17:32:31.068 ,2,0.004086127023763165,0.28746328541056454,FoVF,0.6093253998054452,0.7099721181564863,2458184.229884235
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-04-13T16:34:03.208 ,4,9.211473796508995E-4,2.421324261318114,FoVF,-0.6990619915436036,0.7111746254208479,2458222.1904637152
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-05-10T20:35:31.434 ,7,-0.006331952690342232,1.2845635073777817,FoVP,0.7152803375163393,0.7187297949399997,2458249.359254664
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-05-10T22:22:05.662 ,5,-0.0012555514428501337,1.2859719553404996,FoVF,0.7150679600446155,0.7189195484334365,2458249.4332649796
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-06-12T22:01:29.038 ,1,0.00544510245493561,-2.94617605531856,FoVF,-0.673971679753323,0.7209920029256088,2458282.4202051573
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-06-13T02:15:09.052 ,6,-0.005080027820389514,-2.9396208980098364,FoVP,-0.6764655342064058,0.7183163094108038,2458282.5963685215
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-07-22T03:39:16.528 ,6,-0.0018333439729516473,2.5682877061592704,FoVF,0.5967425207474165,0.7191836725506382,2458321.6556711174
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-08-19T13:53:17.147 ,1,0.003969042420011985,-1.8208752730211089,FoVP,-0.5827945706532751,0.7248841287336356,2458350.082093385
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-08-19T15:39:51.327 ,4,4.582693617301852E-4,-1.8169780757613072,FoVF,-0.5846508336935199,0.7234387460313308,2458350.1560994266
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-09-27T13:30:16.260 ,7,-0.005551094284066652,-2.564941562320481,FoVP,0.6703826287147856,0.7093450816541943,2458389.065279696
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-09-27T15:16:50.503 ,5,-0.0010846511359765187,-2.5619999341822006,FoVF,0.6692367932568389,0.7105568900416996,2458389.139284765
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-10-29T07:10:45.717 ,1,0.004627129166620249,-0.5175429588475795,FoVP,-0.7042459070428234,0.7180982805297456,2458420.8005386875
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-10-29T08:57:19.914 ,5,-5.435414501800749E-4,-0.5158369254344992,FoVF,-0.7046375020983346,0.7177377377732328,2458420.8745425474
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2018-11-25T06:57:02.688 ,4,-0.0013862928165580856,-1.644283813568369,FoVP,0.7005497437481857,0.707469020381999,2458447.789901271
